B00, 0
B01, 2
B01, Trade, 20.000, 20, S03, B01, 1
B01, Trade, 54.750, 20, S00, B01, 1
B02, 1
B02, Trade, 31.875, 20, S02, B02, 1
B03, 1
B03, Trade, 17.500, 20, S01, B03, 1
S00, 1
S00, Trade, 54.750, 20, S00, B01, 1
S01, 1
S01, Trade, 17.500, 20, S01, B03, 1
S02, 1
S02, Trade, 31.875, 20, S02, B02, 1
S03, 1
S03, Trade, 20.000, 20, S03, B01, 1
