0.000, Bid:,0,Ask:,0,
0.425, Bid:,0,Ask:,1,2,1,
2.450, Bid:,0,Ask:,1,2,2,
2.650, Bid:,0,Ask:,1,2,1,
3.200, Bid:,0,Ask:,2,1,1,2,1,
3.425, Bid:,0,Ask:,1,2,1,
4.950, Bid:,1,1,1,Ask:,1,2,1,
5.575, Bid:,1,1,1,Ask:,1,2,2,
6.325, Bid:,1,1,1,Ask:,2,2,2,3,1,
6.350, Bid:,1,1,2,Ask:,2,2,2,3,1,
6.750, Bid:,1,1,1,Ask:,2,2,1,3,1,
8.525, Bid:,0,Ask:,2,2,1,3,1,
8.625, Bid:,0,Ask:,1,3,1,
9.700, Bid:,0,Ask:,2,1,1,3,1,
11.525, Bid:,0,Ask:,3,1,1,2,1,3,1,
11.675, Bid:,1,0,1,Ask:,3,1,1,2,1,3,1,
12.650, Bid:,1,0,1,Ask:,3,1,2,2,1,3,1,
13.725, Bid:,1,0,2,Ask:,3,1,2,2,1,3,1,
14.425, Bid:,1,0,2,Ask:,3,1,1,2,1,3,1,
15.425, Bid:,1,0,2,Ask:,3,1,1,2,2,3,1,
16.625, Bid:,1,0,2,Ask:,3,1,2,2,2,3,1,
18.400, Bid:,1,0,2,Ask:,3,1,2,2,3,3,1,
20.250, Bid:,1,0,2,Ask:,3,1,1,2,3,3,1,
20.300, Bid:,1,0,2,Ask:,2,2,3,3,1,
21.000, Bid:,2,0,2,1,1,Ask:,2,2,3,3,1,
21.650, Bid:,2,0,2,1,1,Ask:,2,2,4,3,1,
22.825, Bid:,1,0,2,Ask:,2,2,4,3,1,
23.500, Bid:,2,0,2,1,1,Ask:,2,2,4,3,1,
24.075, Bid:,1,0,2,Ask:,2,2,4,3,1,
24.150, Bid:,2,0,2,1,1,Ask:,2,2,4,3,1,
24.400, Bid:,2,0,2,1,1,Ask:,2,2,3,3,1,
24.925, Bid:,2,0,2,1,1,Ask:,2,2,4,3,1,
25.050, Bid:,2,0,2,1,2,Ask:,2,2,4,3,1,
25.275, Bid:,2,0,2,1,1,Ask:,2,2,4,3,1,
25.325, Bid:,2,0,2,1,1,Ask:,2,2,3,3,1,
25.775, Bid:,2,0,2,1,2,Ask:,2,2,3,3,1,
28.500, Bid:,2,0,2,1,2,Ask:,2,2,2,3,1,
28.800, Bid:,2,0,2,1,1,Ask:,2,2,2,3,1,
29.175, Bid:,2,0,2,1,1,Ask:,2,2,3,3,1,
29.700, Bid:,2,0,2,1,2,Ask:,2,2,3,3,1,
